Sabor do Parque — Resumo de Custos e Margens,,,,
Sabor,Custo/unid (R$),Preço venda (R$),Lucro/unid (R$),Margem (%)
Linha Gourmet,,,,
Ninho c/ Morango,"R$ 2,22","R$ 12,00","R$ 9,78","81,5%"
Ninho c/ Nutella,"R$ 2,32","R$ 12,00","R$ 9,68","80,7%"
Maracujá c/ Nutella,"R$ 2,10","R$ 12,00","R$ 9,90","82,5%"
Morango c/ Nutella,"R$ 2,11","R$ 12,00","R$ 9,89","82,4%"
Morango c/ Geleia de Morango,"R$ 1,93","R$ 12,00","R$ 10,07","83,9%"
Maracujá c/ Geleia,"R$ 1,83","R$ 12,00","R$ 10,17","84,8%"
Uva c/ Geleia de Uva,"R$ 2,70","R$ 12,00","R$ 9,30","77,5%"
Tortinha de Limão,"R$ 1,83","R$ 12,00","R$ 10,17","84,8%"
Ovomaltine,"R$ 1,71","R$ 12,00","R$ 10,29","85,8%"
Ferrero (Avelã),"R$ 2,89","R$ 12,00","R$ 9,11","75,9%"
Manga Cremosa,"R$ 1,88","R$ 12,00","R$ 10,12","84,4%"
Pudim,"R$ 2,34","R$ 12,00","R$ 9,66","80,5%"
,,,,
Linha Refrescante,,,,
Manga,"R$ 0,48","R$ 8,00","R$ 7,52","94,0%"
Abacaxi,"R$ 0,64","R$ 8,00","R$ 7,36","92,0%"
Morango,"R$ 0,43","R$ 8,00","R$ 7,57","94,7%"
Maracujá,"R$ 0,42","R$ 8,00","R$ 7,58","94,8%"
Goiaba,"R$ 0,43","R$ 8,00","R$ 7,57","94,7%"
Uva,"R$ 1,18","R$ 8,00","R$ 6,82","85,3%"
